country,year,FP.CPI.TOTL.ZG
Italy,2011,2.78063272879323
Italy,2010,1.52551602118248
Italy,2009,0.774768131387381
Italy,2008,3.34783258401022
Italy,2007,1.82974112202403
Italy,2006,2.09084391012754
Italy,2005,1.9852929852798
Italy,2004,2.20673661423657
Italy,2003,2.6725555277285
Italy,2002,2.46532319171165
Italy,2001,2.78516542713554
Italy,2000,2.53768532095002
Japan,2023,3.26813365933163
Japan,2022,2.49770278172255
Japan,2021,-0.233352779398264
Japan,2020,-0.024995834027731
Japan,2019,0.46877615938395
Japan,2018,0.989094598021848
Japan,2017,0.484199796126385
Japan,2016,-0.127258844489754
Japan,2015,0.795279630579839
Japan,2014,2.75922671353253
Japan,2013,0.335037912184741
Japan,2012,-0.0440645104432602
Japan,2011,-0.27245561610124
Japan,2010,-0.728243207517779
Japan,2009,-1.35283672951719
Japan,2008,1.3800788616492
Japan,2007,0.060039454498669
Japan,2006,0.249355116079085
Japan,2005,-0.282946068764391
Japan,2004,-0.00857338820310272
Japan,2003,-0.256541816316025
Japan,2002,-0.923494026942321
Japan,2001,-0.740055504162738
Japan,2000,-0.676578683595175
"Korea, Rep.",2023,3.5974562502901
"Korea, Rep.",2022,5.08951365062842
"Korea, Rep.",2021,2.49833333333339
"Korea, Rep.",2020,0.537288023411737
"Korea, Rep.",2019,0.383000303608136
"Korea, Rep.",2018,1.47583935002645
"Korea, Rep.",2017,1.94433230786366
"Korea, Rep.",2016,0.971685739912168
"Korea, Rep.",2015,0.70633177245575
"Korea, Rep.",2014,1.27477446401322
"Korea, Rep.",2013,1.30134754547413
"Korea, Rep.",2012,2.18707104433314
"Korea, Rep.",2011,4.0259650043609
"Korea, Rep.",2010,2.93928652655686
"Korea, Rep.",2009,2.7564965449393
"Korea, Rep.",2008,4.67389655533408
"Korea, Rep.",2007,2.53457382137932
"Korea, Rep.",2006,2.24234028518921
"Korea, Rep.",2005,2.75379162735039
"Korea, Rep.",2004,3.59066298882578
"Korea, Rep.",2003,3.51487451459939
"Korea, Rep.",2002,2.76226210296599
"Korea, Rep.",2001,4.06657587897792
"Korea, Rep.",2000,2.25916580080157
Mexico,2023,5.52796087314389
Mexico,2022,7.8962761916855
Mexico,2021,5.68920847683753
Mexico,2020,3.39683415570006
Mexico,2019,3.63596142127046
Mexico,2018,4.89935015356551
Mexico,2017,6.04145724018986
Mexico,2016,2.8217078474766
Mexico,2015,2.72064064964023
Mexico,2014,4.01861608078679
Mexico,2013,3.80639069747204
Mexico,2012,4.11150981070289
Mexico,2011,3.40737824605742
Mexico,2010,4.15672722680174
Mexico,2009,5.29735584228856
Mexico,2008,5.12498274575896
Mexico,2007,3.96684905458235
Mexico,2006,3.62946762439132
Mexico,2005,3.98805714597437
Mexico,2004,4.68840884843143
Mexico,2003,4.54690012118718
Mexico,2002,5.03072733151295
Mexico,2001,6.36773806235037
Mexico,2000,9.49156149435403
Netherlands,2023,3.83839354342808
Netherlands,2022,10.0012078753473
Netherlands,2021,2.67572008805385
Netherlands,2020,1.27246037789161
Netherlands,2019,2.63369910249601
Netherlands,2018,1.7034979474447
Netherlands,2017,1.38145871407206
Netherlands,2016,0.316666666666743
Netherlands,2015,0.600248147278776
Netherlands,2014,0.976035079699679
Netherlands,2013,2.50689852657885
Netherlands,2012,2.45554765291604
Netherlands,2011,2.34107017751373
Netherlands,2010,1.27530569556683
Netherlands,2009,1.1897768702155
Netherlands,2008,2.48650198289454
Netherlands,2007,1.61385859802103
Netherlands,2006,1.10150106517702
Netherlands,2005,1.68813017869623
Netherlands,2004,1.2636473918318
Netherlands,2003,2.09199838997655
Netherlands,2002,3.28753104712771
Netherlands,2001,4.15584127195613
Netherlands,2000,2.36052233801948
Russian Federation,2023,
Russian Federation,2022,
Russian Federation,2021,6.69445891957612
Russian Federation,2020,3.38165937237898
Russian Federation,2019,4.47036660760173
Russian Federation,2018,2.87829723647884
Russian Federation,2017,3.68332944412233
Russian Federation,2016,7.04244762954799
Russian Federation,2015,15.5344050528403
Russian Federation,2014,7.82341183865513
Russian Federation,2013,6.75371026220942
Russian Federation,2012,5.07474300799149
Russian Federation,2011,8.4404648593257
Russian Federation,2010,6.84939230255025
Russian Federation,2009,11.6473295764118
Russian Federation,2008,14.1107677840442
Russian Federation,2007,9.00729868861079
Russian Federation,2006,9.66865454789265
Russian Federation,2005,12.6853039507349
Russian Federation,2004,10.8886157326216
Russian Federation,2003,13.6632930228666
Russian Federation,2002,15.7887307914463
Russian Federation,2001,21.4770072117159
Russian Federation,2000,20.7987606558704
Saudi Arabia,2023,2.32708518362692
Saudi Arabia,2022,2.4740737192537
Saudi Arabia,2021,3.06328988941547
Saudi Arabia,2020,3.44545825956692
Saudi Arabia,2019,-2.09333333333329
Saudi Arabia,2018,2.45814158007532
Saudi Arabia,2017,-0.838194579675018
Saudi Arabia,2016,2.06884036053473
Saudi Arabia,2015,1.20607322150109
Saudi Arabia,2014,2.23629031536978
Saudi Arabia,2013,3.53252470694918
Saudi Arabia,2012,2.86626887489915
Saudi Arabia,2011,5.82621608838862
Saudi Arabia,2010,5.33941680637454
Saudi Arabia,2009,5.05722314693633
Saudi Arabia,2008,9.87024791275994
Saudi Arabia,2007,4.16782330119979
Saudi Arabia,2006,2.20902407871182
Saudi Arabia,2005,0.479230397826084
Saudi Arabia,2004,0.515506766998081
Saudi Arabia,2003,0.612194395125212
Saudi Arabia,2002,0.24718651429923
Saudi Arabia,2001,-1.12094477457175
Saudi Arabia,2000,-1.12499477854774
Turkiye,2023,53.8594087593315
Turkiye,2022,72.3088359891207
Turkiye,2021,19.5964926913324
Turkiye,2020,12.2789574462574
Turkiye,2019,15.1768215720022
Turkiye,2018,16.3324638988928
Turkiye,2017,11.1443110840765
Turkiye,2016,7.7751341532833
Turkiye,2015,7.67085364845877
Turkiye,2014,8.85457271364324
Turkiye,2013,7.49309030547693
Turkiye,2012,8.89156996512163
Turkiye,2011,6.471879671151
Turkiye,2010,8.56644420552976
Turkiye,2009,6.25097663090626
Turkiye,2008,10.4441283764885
Turkiye,2007,8.75618090972639
Turkiye,2006,9.59724212288432
Turkiye,2005,8.17916036802002
Turkiye,2004,8.59826168115272
Turkiye,2003,21.6024384490572
Turkiye,2002,44.9641209479849
Turkiye,2001,54.4001887619075
Turkiye,2000,54.9153705812683
United States,2023,4.11633838374488
United States,2022,8.00279982052121
United States,2021,4.69785886363742
United States,2020,1.23358439630629
United States,2019,1.81221007526021
United States,2018,2.44258329692817
United States,2017,2.13011000365961
United States,2016,1.26158320570536
United States,2015,0.118627135552451
United States,2014,1.62222297740817
United States,2013,1.46483265562717
United States,2012,2.06933726526067
United States,2011,3.156841568622
United States,2010,1.6400434423899
United States,2009,-0.355546266299747
United States,2008,3.839100296651
United States,2007,2.85267248150138
United States,2006,3.22594410070404
United States,2005,3.3927468454955
United States,2004,2.67723669309172
United States,2003,2.27009497336115
United States,2002,1.58603162650601
United States,2001,2.82617111885407
United States,2000,3.37685727149929
