country,year,NY.GDP.MKTP.KD.ZG
France,2007,2.53048186196499
France,2006,2.7140645179325
France,2005,1.88856580217112
France,2004,2.86825057188587
France,2003,0.967827177709708
France,2002,1.06775025028361
France,2001,1.89946700332246
France,2000,4.14099999646893
United Kingdom,2023,0.339966158003463
United Kingdom,2022,4.83908514714403
United Kingdom,2021,8.5759509048565
United Kingdom,2020,-10.2969188737567
United Kingdom,2019,1.62447515947532
United Kingdom,2018,1.40519026609273
United Kingdom,2017,2.65650489309972
United Kingdom,2016,1.92171007763831
United Kingdom,2015,2.22288844908437
United Kingdom,2014,3.1946373128021
United Kingdom,2013,1.79992149362663
United Kingdom,2012,1.50899837441014
United Kingdom,2011,1.13836234744893
United Kingdom,2010,2.2333151263108
United Kingdom,2009,-4.6205537195686
United Kingdom,2008,-0.248797298132246
