country,year,gdp_growth_rate,inflation_rate
Germany,2003,-0.529928993631358,1.03422218628562
Germany,2004,1.16236826742538,1.66573696655992
Germany,2005,0.885697236264619,1.54691114751328
Germany,2006,3.85573615221429,1.57742642840563
Germany,2007,2.89010718962479,2.29834400700951
Germany,2008,0.910403196145353,2.62837981637219
Germany,2009,-5.54516453771706,0.312739007368447
Germany,2010,4.14676754532437,1.1038103778926
Germany,2011,3.75796886586348,2.07517283735874
Germany,2012,0.474291305855544,2.00848884782956
Germany,2013,0.386224576109953,1.50472330251876
Germany,2014,2.16949892879079,0.906794000434246
Germany,2015,1.65271977174628,0.514426137125456
Germany,2016,2.29471067684281,0.491747008445174
Germany,2017,2.71602451931592,1.50949485109628
Germany,2018,1.11644310926225,1.73216879766942
Germany,2019,0.987893349167578,1.44565976888253
Germany,2020,-4.09513749064689,0.144877925813982
Germany,2021,3.66999986156735,3.06666666666673
Germany,2022,1.36973105536585,6.87257438551097
Germany,2023,-0.266438410090913,5.94643667725823
India,2000,3.84099115659129,4.0094359104519
India,2001,4.82396626555771,3.77929312235637
India,2002,3.80397532112175,4.29715203929563
India,2003,7.8603814759073,3.80585899528851
India,2004,7.92293661199932,3.76725173477515
India,2005,7.92343062148318,4.24634362031922
India,2006,8.06073257166651,5.79652337561634
India,2007,7.6608150670107,6.37288135593231
India,2008,3.08669805921981,8.34926704907581
India,2009,7.86188883286074,10.8823529411764
India,2010,8.49758470221235,11.9893899204244
India,2011,5.24131619937695,8.91179336483371
India,2012,5.45638755166587,9.47899691419801
India,2013,6.38610640094825,10.0178784746102
India,2014,7.41022760508854,6.66565671867899
India,2015,7.99625378571471,4.90697344127256
India,2016,8.25630550179086,4.94821634062141
India,2017,6.79538341897911,3.32817337461298
India,2018,6.45385134497769,3.9388264669163
India,2019,3.87143694070356,3.72950573539129
India,2020,-5.77772470686801,6.62343677628535
India,2021,9.68959249192875,5.13140747176369
India,2022,6.9870393257555,6.69903414079852
India,2023,8.1529363109041,5.64914318907925
Indonesia,2000,4.9200677470169,3.68861915958352
Indonesia,2001,3.64346644721492,11.5001148791768
Indonesia,2002,4.49947539085764,11.9001175663778
Indonesia,2003,4.78036912167654,6.75731719362853
Indonesia,2004,5.03087394501685,6.06405988526521
Indonesia,2005,5.69257130383384,10.4531984193865
Indonesia,2006,5.50095178520348,13.1086720985296
Indonesia,2007,6.34502222667214,6.40656281325701
Indonesia,2008,6.01370360009123,10.2266645473148
Indonesia,2009,4.62887118256153,4.38641555014731
Indonesia,2010,6.22385418062366,5.13420400767928
Indonesia,2011,6.16978420771008,5.3560477898215
Indonesia,2012,6.03005065305615,4.27949999641975
Indonesia,2013,5.5572636889101,6.41251330156418
Indonesia,2014,5.006668425755,6.39492540819922
Indonesia,2015,4.87632230022123,6.36312113115612
Indonesia,2016,5.03306918280177,3.5258051568793
Indonesia,2017,5.06978590134916,3.80879806953157
Indonesia,2018,5.17429153955024,3.1983464156241
Indonesia,2019,5.01928768046282,3.03058664969487
Indonesia,2020,-2.06551182934165,1.9209680056685
Indonesia,2021,3.70288562827751,1.56012990525673
Indonesia,2022,5.30741934775764,4.20946383402165
Indonesia,2023,5.04810577067288,3.67013142377007
Italy,2000,3.88209884248407,2.53768532095002
Italy,2001,2.00643329819457,2.78516542713554
Italy,2002,0.269929620338758,2.46532319171165
Italy,2003,0.0665538534500882,2.6725555277285
Italy,2004,1.4740216725119,2.20673661423657
Italy,2005,0.762410719611808,1.9852929852798
Italy,2006,1.79947990520787,2.09084391012754
Italy,2007,1.46229202490677,1.82974112202403
Italy,2008,-1.02313847687941,3.34783258401022
Italy,2009,-5.305154032511,0.774768131387381
Italy,2010,1.52910575728933,1.52551602118248
Italy,2011,0.695463129207852,2.78063272879323
Italy,2012,-3.12523879543816,3.04136333226775
Italy,2013,-1.81802506104283,1.21999342274306
Italy,2014,-0.0013876397649283,0.241047429826756
Italy,2015,0.885667638046783,0.0387903996579733
Italy,2016,1.2362211072751,-0.09401665691575
Italy,2017,1.60369994648362,1.22653316645812
Italy,2018,0.826646697363699,1.13748763600391
Italy,2019,0.429162534371912,0.611246943765304
Italy,2020,-8.86822121046387,-0.13770757391651
Italy,2021,8.9310620660078,1.87378325762481
Italy,2022,4.66176265113695,8.20128991161718
Italy,2023,0.69763299419678,5.62219442195901
Japan,2000,2.76464755143648,-0.676578683595175
Japan,2001,0.386103426145752,-0.740055504162738
Japan,2002,0.0419624993125609,-0.923494026942321
Japan,2003,1.53512549928013,-0.256541816316025
Japan,2004,2.1861156944216,-0.00857338820310272
Japan,2005,1.80390087227372,-0.282946068764391
Japan,2006,1.37235012762038,0.249355116079085
Japan,2007,1.48396941163492,0.060039454498669
Japan,2008,-1.22428900072828,1.3800788616492
Japan,2009,-5.69323635882266,-1.35283672951719
Japan,2010,4.09791791930137,-0.728243207517779
Japan,2011,0.0238095237748297,-0.27245561610124
Japan,2012,1.37475099920874,-0.0440645104432602
Japan,2013,2.0051001767726,0.335037912184741
Japan,2014,0.296205514142628,2.75922671353253
Japan,2015,1.56062669674904,0.795279630579839
